dataset,architecture,method,risk_bin,n_member,memscore_mean,exposure_mean,exposure_max,exposure_min,exposure_zero_frac
cinic,densenet121,base,1,8100,0.4474394917488098,105.0,105.0,105.0,0.0
cinic,densenet121,base,2,8100,0.5502372980117798,105.0,105.0,105.0,0.0
cinic,densenet121,base,3,8100,0.6548866629600525,105.0,105.0,105.0,0.0
cinic,densenet121,base,4,8100,0.7734004855155945,105.0,105.0,105.0,0.0
cinic,densenet121,base,5,8100,0.9186788201332092,105.0,105.0,105.0,0.0
cinic,densenet121,swmr,1,8100,0.4474394917488098,0.5802469253540039,20.0,0.0,0.9524691358024692
cinic,densenet121,swmr,2,8100,0.5502372980117798,15.87592601776123,45.0,0.0,0.3558024691358025
cinic,densenet121,swmr,3,8100,0.6548866629600525,33.619136810302734,45.0,0.0,0.11148148148148149
cinic,densenet121,swmr,4,8100,0.7734004855155945,41.961727142333984,45.0,20.0,0.0
cinic,densenet121,swmr,5,8100,0.9186788201332092,24.629629135131836,45.0,5.0,0.0
cinic,densenet121,radd,1,8100,0.4474394917488098,43.98222351074219,79.0,29.0,0.0
cinic,densenet121,radd,2,8100,0.5502372980117798,47.264320373535156,81.0,33.0,0.0
cinic,densenet121,radd,3,8100,0.6548866629600525,23.420124053955078,80.0,1.0,0.0
cinic,densenet121,radd,4,8100,0.7734004855155945,1.0,1.0,1.0,0.0
cinic,densenet121,radd,5,8100,0.9186788201332092,1.0,1.0,1.0,0.0
