scope,combo,group,metric,n,attack_min,attack_max,attack_range,attack_mean,attack_std,acc_min,acc_max,acc_range,acc_mean,acc_std
combo,cifar100_resnet18,high_risk_cap,avg_all_mia,4,72.65806402439024,73.48095325203252,0.8228892276422783,73.09083384146342,0.33770150113107017,41.479,42.182,0.703000000000003,41.75775,0.2891897084959982
combo,cifar100_resnet18,high_risk_ratio,avg_all_mia,4,72.2314806910569,72.88568902439025,0.6542083333333437,72.53597154471544,0.28960810237794776,40.812,42.315,1.5030000000000001,41.57875,0.5337163923845698
combo,cifar100_resnet18,distill_weight,avg_all_mia,4,71.87284654471546,73.56114430894308,1.6882977642276273,72.71787931910569,0.619875725203703,38.061,41.964,3.9029999999999987,40.094,1.3945423980646838
combo,location_columnfc,high_risk_cap,avg_all_mia,4,66.90739045051984,67.39764194262611,0.4902514921062675,67.17234338900656,0.17783793017768487,65.113,67.128,2.0150000000000006,66.12075,0.7179597394701182
combo,location_columnfc,high_risk_ratio,avg_all_mia,4,67.15057720446669,67.83139045051983,0.6808132460531482,67.40279670051983,0.26158726645302927,66.121,66.877,0.7560000000000002,66.436,0.2887022687822172
combo,location_columnfc,distill_weight,avg_all_mia,4,66.45738149788218,68.51526843473238,2.0578869368501955,67.2179352738737,0.8024055722604173,62.469,66.247,3.7779999999999987,64.893,1.4560212910531207
combo,resisc45_densenet121,high_risk_cap,avg_all_mia,4,62.30506085425597,62.64756085425597,0.34250000000000114,62.41412335425597,0.13689664497806509,74.489,76.152,1.6629999999999967,75.3305,0.7299056445870234
combo,resisc45_densenet121,high_risk_ratio,avg_all_mia,3,62.020560854255976,62.63093585425597,0.6103749999999977,62.34772752092264,0.2511157255905895,72.886,74.068,1.1820000000000022,73.39333333333333,0.496844263549679
combo,resisc45_densenet121,distill_weight,avg_all_mia,4,62.23656085425597,62.434185854255965,0.19762499999999505,62.357904604255964,0.07342164057474654,69.719,74.99,5.271000000000001,73.3515,2.1241678959065378
combo,resisc45_resnet18,high_risk_cap,avg_all_mia,4,61.11281085425597,61.459060854255966,0.3462499999999977,61.31812335425597,0.12841772962192474,58.116,58.697,0.5810000000000031,58.4015,0.2347344244034114
combo,resisc45_resnet18,high_risk_ratio,avg_all_mia,4,61.263435854255974,61.55168585425597,0.2882499999999979,61.363810854255966,0.11264358892098585,56.473,59.88,3.4070000000000036,57.946,1.2555781536806072
combo,resisc45_resnet18,distill_weight,avg_all_mia,4,61.26756085425596,61.49943585425597,0.23187500000000938,61.354592104255964,0.0869954369762452,48.076,59.78,11.704,55.34075,4.539167400250843
overall,ALL,high_risk_cap,avg_all_mia,4,61.31812335425597,73.09083384146342,0.5004726799371362,65.99885598474548,4.648461804682343,41.75775,75.3305,1.2405000000000008,60.402625,12.320453223831702
overall,ALL,high_risk_ratio,avg_all_mia,4,61.363810854255966,72.53597154471544,0.5584116448466219,65.91257665510346,4.457845199979703,41.57875,73.39333333333333,1.7120000000000015,59.838520833333334,11.877084440796153
overall,ALL,distill_weight,avg_all_mia,4,61.354592104255964,72.71787931910569,1.0439211752694568,65.91207782537283,4.511846103087683,40.094,73.3515,6.164,58.419812500000006,12.350844886807085
