panel,method,prediction_accuracy,attack_accuracy,source
(a) ResNet18 (Conf),Base,75.394,67.039,logs
(a) ResNet18 (Conf),RSW,72.63,55.145,logs
(a) ResNet18 (Conf),SWMR,74.473,56.22,logs
(a) ResNet18 (Conf),PPB,71.939,55.537,logs
(a) ResNet18 (Conf),ADV,69.976,58.571,logs
(a) ResNet18 (Conf),DP,40.97,54.174,logs
(a) ResNet18 (Conf),RelaxLoss,70.788,53.677,logs
(b) DenseNet121 (Conf),Base,50.0,81.354,logs
(b) DenseNet121 (Conf),RSW,49.285,62.257,logs
(b) DenseNet121 (Conf),SWMR,40.945,60.274,logs
(b) DenseNet121 (Conf),PPB,46.667,67.565,logs
(b) DenseNet121 (Conf),ADV,40.727,60.852,logs
(b) DenseNet121 (Conf),DP,7.297,52.18,logs
(b) DenseNet121 (Conf),RelaxLoss,49.636,66.398,logs
(c) VGG16 (SAMIA),Base,66.789,74.234,logs
(c) VGG16 (SAMIA),RSW,61.578,63.159,logs
(c) VGG16 (SAMIA),SWMR,61.898,62.146,logs
(c) VGG16 (SAMIA),PPB,57.487,63.022,logs
(c) VGG16 (SAMIA),ADV,64.874,63.623,logs
(c) VGG16 (SAMIA),DP,55.918,62.706,logs
(c) VGG16 (SAMIA),RelaxLoss,64.095,63.33,logs
(d) FC (SAMIA),Base,65.239,90.065,logs
(d) FC (SAMIA),RSW,64.358,73.97,logs
(d) FC (SAMIA),SWMR,57.809,72.853,logs
(d) FC (SAMIA),PPB,61.965,88.102,logs
(d) FC (SAMIA),ADV,46.348,73.97,logs
(d) FC (SAMIA),DP,62.217,81.748,logs
(d) FC (SAMIA),RelaxLoss,57.935,75.241,logs
