combo,panel_metric,method,label,prediction_accuracy,attack_accuracy,selected,complete,source,path
cifar10_resnet18,conf,rsw_auto_candidate,RSW candidate,76.909,66.505,0,1,h2l_w1000_s100,log/wemem_fig11_auto_grid\cifar10_resnet18\rsw_h2l_w1000_s100.txt
cifar10_resnet18,conf,rsw_auto_candidate,RSW candidate,74.873,65.815,0,1,h2l_w1000_s50,log/wemem_fig11_auto_grid\cifar10_resnet18\rsw_h2l_w1000_s50.txt
cifar10_resnet18,conf,rsw_auto_candidate,RSW candidate,76.061,64.96,0,1,h2l_w1500_s100,log/wemem_fig11_auto_grid\cifar10_resnet18\rsw_h2l_w1500_s100.txt
cifar10_resnet18,conf,rsw_auto_candidate,RSW candidate,76.291,66.809,0,1,h2l_w1500_s50,log/wemem_fig11_auto_grid\cifar10_resnet18\rsw_h2l_w1500_s50.txt
cifar10_resnet18,conf,rsw_auto_candidate,RSW candidate,74.679,64.585,0,1,h2l_w500_s100,log/wemem_fig11_auto_grid\cifar10_resnet18\rsw_h2l_w500_s100.txt
cifar10_resnet18,conf,rsw_auto_candidate,RSW candidate,72.982,62.074,0,1,h2l_w500_s50,log/wemem_fig11_auto_grid\cifar10_resnet18\rsw_h2l_w500_s50.txt
cifar10_resnet18,conf,rsw_auto_candidate,RSW candidate,75.745,61.752,0,1,l2h_w1000_s100,log/wemem_fig11_auto_grid\cifar10_resnet18\rsw_l2h_w1000_s100.txt
cifar10_resnet18,conf,rsw_auto_candidate,RSW candidate,75.212,59.569,0,1,l2h_w1000_s50,log/wemem_fig11_auto_grid\cifar10_resnet18\rsw_l2h_w1000_s50.txt
cifar10_resnet18,conf,rsw_auto_candidate,RSW candidate,76.897,66.241,0,1,l2h_w1500_s100,log/wemem_fig11_auto_grid\cifar10_resnet18\rsw_l2h_w1500_s100.txt
cifar10_resnet18,conf,rsw_auto_candidate,RSW candidate,75.855,62.488,0,1,l2h_w1500_s50,log/wemem_fig11_auto_grid\cifar10_resnet18\rsw_l2h_w1500_s50.txt
cifar10_resnet18,conf,rsw_auto_candidate,RSW candidate,73.588,55.449,0,1,l2h_w500_s50,log/wemem_fig11_auto_grid\cifar10_resnet18\rsw_l2h_w500_s50.txt
cifar100_densenet121,conf,rsw_auto_candidate,RSW candidate,50.909,76.779,0,1,h2l_w100_s10,log/wemem_fig11_auto_grid\cifar100_densenet121\rsw_h2l_w100_s10.txt
cifar100_densenet121,conf,rsw_auto_candidate,RSW candidate,47.539,74.164,0,1,h2l_w100_s5,log/wemem_fig11_auto_grid\cifar100_densenet121\rsw_h2l_w100_s5.txt
cifar100_densenet121,conf,rsw_auto_candidate,RSW candidate,52.0,77.25,0,1,h2l_w150_s10,log/wemem_fig11_auto_grid\cifar100_densenet121\rsw_h2l_w150_s10.txt
cifar100_densenet121,conf,rsw_auto_candidate,RSW candidate,51.091,80.139,0,1,h2l_w150_s5,log/wemem_fig11_auto_grid\cifar100_densenet121\rsw_h2l_w150_s5.txt
cifar100_densenet121,conf,rsw_auto_candidate,RSW candidate,42.57,67.271,0,1,h2l_w50_s5,log/wemem_fig11_auto_grid\cifar100_densenet121\rsw_h2l_w50_s5.txt
cinic_vgg16bn,samia,rsw_auto_candidate,RSW candidate,65.53,67.384,0,1,h2l_w1800_s100,log/wemem_fig11_auto_grid\cinic_vgg16bn\rsw_h2l_w1800_s100.txt
cinic_vgg16bn,samia,rsw_auto_candidate,RSW candidate,66.742,70.721,0,1,h2l_w2700_s100,log/wemem_fig11_auto_grid\cinic_vgg16bn\rsw_h2l_w2700_s100.txt
cinic_vgg16bn,samia,rsw_auto_candidate,RSW candidate,66.692,71.054,0,1,h2l_w2700_s200,log/wemem_fig11_auto_grid\cinic_vgg16bn\rsw_h2l_w2700_s200.txt
location_columnfc,samia,rsw_auto_candidate,RSW candidate,61.209,79.746,0,1,h2l_w15_s1,log/wemem_fig11_auto_grid\location_columnfc\rsw_h2l_w15_s1.txt
location_columnfc,samia,rsw_auto_candidate,RSW candidate,59.824,82.98,0,1,h2l_w15_s5,log/wemem_fig11_auto_grid\location_columnfc\rsw_h2l_w15_s5.txt
location_columnfc,samia,rsw_auto_candidate,RSW candidate,62.469,80.709,0,1,h2l_w35_s1,log/wemem_fig11_auto_grid\location_columnfc\rsw_h2l_w35_s1.txt
location_columnfc,samia,rsw_auto_candidate,RSW candidate,64.484,83.481,0,1,h2l_w35_s5,log/wemem_fig11_auto_grid\location_columnfc\rsw_h2l_w35_s5.txt
location_columnfc,samia,rsw_auto_candidate,RSW candidate,60.831,79.707,0,1,h2l_w55_s1,log/wemem_fig11_auto_grid\location_columnfc\rsw_h2l_w55_s1.txt
location_columnfc,samia,rsw_auto_candidate,RSW candidate,62.972,83.481,0,1,h2l_w55_s5,log/wemem_fig11_auto_grid\location_columnfc\rsw_h2l_w55_s5.txt
location_columnfc,samia,rsw_auto_candidate,RSW candidate,63.35,74.201,0,1,l2h_w15_s1,log/wemem_fig11_auto_grid\location_columnfc\rsw_l2h_w15_s1.txt
location_columnfc,samia,rsw_auto_candidate,RSW candidate,64.358,78.668,0,1,l2h_w15_s5,log/wemem_fig11_auto_grid\location_columnfc\rsw_l2h_w15_s5.txt
location_columnfc,samia,rsw_auto_candidate,RSW candidate,65.113,71.005,0,1,l2h_w35_s1,log/wemem_fig11_auto_grid\location_columnfc\rsw_l2h_w35_s1.txt
location_columnfc,samia,rsw_auto_candidate,RSW candidate,64.987,77.782,0,1,l2h_w35_s5,log/wemem_fig11_auto_grid\location_columnfc\rsw_l2h_w35_s5.txt
location_columnfc,samia,rsw_auto_candidate,RSW candidate,65.365,71.198,0,1,l2h_w55_s1,log/wemem_fig11_auto_grid\location_columnfc\rsw_l2h_w55_s1.txt
location_columnfc,samia,rsw_auto_candidate,RSW candidate,63.98,78.321,0,1,l2h_w55_s5,log/wemem_fig11_auto_grid\location_columnfc\rsw_l2h_w55_s5.txt
location_columnfc,samia,swmr_auto_candidate,SWMR candidate,57.179,71.506,0,1,h2l_w15_s1,log/wemem_fig11_auto_grid\location_columnfc\swmr_h2l_w15_s1.txt
location_columnfc,samia,swmr_auto_candidate,SWMR candidate,62.217,79.977,0,1,h2l_w15_s5,log/wemem_fig11_auto_grid\location_columnfc\swmr_h2l_w15_s5.txt
location_columnfc,samia,swmr_auto_candidate,SWMR candidate,58.438,73.238,0,1,h2l_w35_s1,log/wemem_fig11_auto_grid\location_columnfc\swmr_h2l_w35_s1.txt
location_columnfc,samia,swmr_auto_candidate,SWMR candidate,61.587,78.976,0,1,h2l_w35_s5,log/wemem_fig11_auto_grid\location_columnfc\swmr_h2l_w35_s5.txt
location_columnfc,samia,swmr_auto_candidate,SWMR candidate,60.076,73.508,0,1,h2l_w55_s1,log/wemem_fig11_auto_grid\location_columnfc\swmr_h2l_w55_s1.txt
location_columnfc,samia,swmr_auto_candidate,SWMR candidate,60.202,78.052,0,1,h2l_w55_s5,log/wemem_fig11_auto_grid\location_columnfc\swmr_h2l_w55_s5.txt
location_columnfc,samia,swmr_auto_candidate,SWMR candidate,62.594,71.814,0,1,l2h_w15_s1,log/wemem_fig11_auto_grid\location_columnfc\swmr_l2h_w15_s1.txt
location_columnfc,samia,swmr_auto_candidate,SWMR candidate,64.106,77.513,0,1,l2h_w15_s5,log/wemem_fig11_auto_grid\location_columnfc\swmr_l2h_w15_s5.txt
location_columnfc,samia,swmr_auto_candidate,SWMR candidate,64.484,69.773,0,1,l2h_w35_s1,log/wemem_fig11_auto_grid\location_columnfc\swmr_l2h_w35_s1.txt
location_columnfc,samia,swmr_auto_candidate,SWMR candidate,61.839,74.817,0,1,l2h_w35_s5,log/wemem_fig11_auto_grid\location_columnfc\swmr_l2h_w35_s5.txt
location_columnfc,samia,swmr_auto_candidate,SWMR candidate,64.358,69.927,0,1,l2h_w55_s1,log/wemem_fig11_auto_grid\location_columnfc\swmr_l2h_w55_s1.txt
location_columnfc,samia,swmr_auto_candidate,SWMR candidate,63.098,75.087,0,1,l2h_w55_s5,log/wemem_fig11_auto_grid\location_columnfc\swmr_l2h_w55_s5.txt
